"Id";"Category";"Label";"Primary Yardstick";"Secondary Yardstick";"Primary Comment";"Secondary Comment";"Primary UoM";"Secondary UoM"
"http://environment.data.gov.uk/asset-management/id/drl/MineAdit";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Mine Adit";"m3";;;;"m3";
"http://environment.data.gov.uk/asset-management/id/drl/MineShaft";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Mine Shaft";"m3";;;;"m3";
"http://environment.data.gov.uk/asset-management/id/drl/Modelling";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Modelling";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/MonitoringBuilding";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Monitoring Building";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/MonitoringStation";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Monitoring Station";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/Mooring";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Mooring";"m";;;;"m";
"http://environment.data.gov.uk/asset-management/id/drl/MotorControlCentreControls";"http://environment.data.gov.uk/asset-management/id/drl/MechanicalAndElectrical";"Motor Control Centre Controls";"kVA";"Nr of Starters";;"Number of Starters";"kVA";"Nr"
"http://environment.data.gov.uk/asset-management/id/drl/Mudflats";"http://environment.data.gov.uk/asset-management/id/drl/Land";"Mudflats";"ha";"m2";;;"ha";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/NaturalHighGround";"http://environment.data.gov.uk/asset-management/id/drl/Defence";"Natural High Ground";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/NaturalSpring0";"http://environment.data.gov.uk/asset-management/id/drl/Channel";"Natural Spring";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/NavigationBoom";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Navigation Boom";"Nr";;;;"Nr";
